FirmName,Year,EquityBonds Revenue,EquityBonds Rank,EquityBonds Market Share,"EquityBonds Number of Issues"
Brobeck Phleger & Hantson (CA),1989,188.5,124,0,4
Hart & Hart,1989,180.6,125,0,1
"Thorp, Reed & Armstrong (PA)",1989,178.4,126,0,2
Ware & Freidenrich,1989,178.1,127,0,5
Kelly Hart & Hallman,1989,165,128*,0,1
Rogers & Wells,1989,165,128*,0,3
"Berlack, Israels & Liberman (PA)",1989,162.7,130,0,2
Goodwin Procter & Hoar,1989,160.1,131,0,5
"Foster, Pepper & Riviera",1989,157.3,132,0,2
Jones Walker Waechter Poitevent Carrere & Denegre,1989,156.5,133,0,3
Satterlee & Stephens,1989,155.1,134,0,2
"Thompson, Hine & Flory",1989,149.1,135,0,1
Shereff Friedman Hoffman & Goodman,1989,146.6,136,0,4
"Michael, Best & Friedrich (WI)",1989,146,137,0,1
"Manatt, Phelps, Rothenberg & Phillips",1989,144.8,138,0,4
Piper & Marbury,1989,144,139,0,8
"Adams, Duque & Hazeltine",1989,142.6,140,0,1
Norton Rose,1989,140,141,0,1
Riordan & McKinzie,1989,139.8,142,0,3
Arnall Golden & Gregory,1989,131.1,143,0,1
Schulte Roth & Zabel LLP,1989,130.4,144,0,2
H R Nolte Jr.,1989,126.9,145,0,1
"Olwine, Connelly, Chase, O'Donnell",1989,126.7,146,0,2
"Sirote,Permutt,Friend,Friedman",1989,125,147,0,1
Arnold & Porter,1989,124.9,148,0,1
"Huffman Arrington Kihle Gaberino & Dunn, P.C.",1989,124.8,149,0,1
R.P. Wolf (SC),1989,121.1,150,0,3
"Miro, Miro & Weiner",1989,118.7,151,0,1
Hogan & Hartson,1989,118.2,152,0,3
Perkins Coie,1989,118.1,153,0,5
"Fox, Rothschild, O'Brien & Frankel",1989,117.3,154,0,1
Alston & Bird,1989,115.9,155,0,2
Johnson & Swanson,1989,115,156,0,1
Barrett Smith Schapiro Simon & Armstrong,1989,112.6,157,0,1
Gipson Hoffman Pancione,1989,110,158,0,1
Gordon Hurwitz Butowsky,1989,109.8,159,0,1
"Calfee, Halter & Griswold (OH)",1989,109.3,160,0,2
"Choate, Hall & Stewart LLP",1989,107.7,161,0,2
Linklaters & Paines,1989,106.5,162,0,2
Jenkens & Gilchrist,1989,105.6,163,0,4
Bell Gully,1989,101.3,164,0,1
R E Gutman,1989,100.7,165,0,1
"Pope, Ballard, Shepard & Fowle",1989,100.1,166,0,2
Gardner Carton & Douglas,1989,100,167*,0,1
Neal Gerber & Eisenberg,1989,100,167*,0,1
Seward & Kissel,1989,100,167*,0,1
Tsunematsu Yanase & Sekine,1989,100,167*,0,1
"Leff,Katz,Rees & Mocciaro",1989,99.9,171,0,1
Matsuuo & Kosugi,1989,99.6,172,0,1
Gallop Johnson & Newman (MO),1989,99.5,173*,0,1
"Hofheimer, Gartlir, Gottlieb & Gross",1989,99.5,173*,0,1
"Nixon, Yow, Waller & Capers (GA)",1989,98.6,175*,0,1
Snell & Wilmer,1989,98.6,175*,0,1
Richards O'Neil & Allegaert (NY),1989,96.9,177,0,2
Cooley Godward Castro Huddleson & Tatum,1989,92.9,178,0,4
Internal Legal Counsel of the Bank,1989,90.3,179,0,2
"Rubin, Baum, Levin, Constant, Friedman & Bilzin",1989,87.8,180,0,3
Baker & Hostetler LLP,1989,84,181,0,3
"O'Connor, Cavanaugh, Anderson, Westover",1989,80,182,0,1
Carter & Associates,1989,79.2,183*,0,1
Wikborg Rein & Co,1989,79.2,183*,0,1
Steinhart & Falconer,1989,79,185,0,1
Bracewell & Patterson,1989,75,186*,0,1
"Leff, Thornton, Katz, Rees & Mocciaro",1989,75,186*,0,1
Clifford Chance,1989,74.9,188,0,2
Foley Hoag & Eliot LLP,1989,74.8,189,0,4
"Day, Berry & Howard",1989,74.1,190,0,1
"Frank,Bernstein,Conway & Goldman",1989,73,191,0,2
Hall & Evans,1989,70.7,192,0,2
Robert M. Rogers,1989,67.7,193,0,1
Powell Goldstein Frazer & Murphy,1989,67.3,194,0,2
Barrett & McNagny,1989,66.5,195,0,1
Binder Groesswang,1989,66,196,0,1
"Weintraub,Genshlea,Hardy,Eric*",1989,65,197,0,1
Stoel Rives Boley Jones & Grey,1989,64.7,198,0,3
Mintz Levin Cohn Ferris Glovsky & Popeo,1989,60,199,0,1
Myerson & Kuhn,1989,54.5,200,0,4
General Counsel,1990,1392887.8,1,62.2,590
"Cadwalader, Wickersham & Taft",1990,95121.3,2,4.3,43
Brown & Wood,1990,53646.2,3,2.4,47
Cleary Gottlieb Steen & Hamilton,1990,42743.1,4,1.9,12
Milbank Tweed Hadley & McCloy,1990,36566.2,5,1.6,19
"Skadden, Arps, Slate, Meagher & Flom",1990,32707.2,6,1.5,43
Hunton & Williams,1990,20631.7,7,0.9,19
"Kutak Rock (AZ,CO,DC,GA,NE)",1990,16091.3,8,0.7,11
"Thacher, Jones, Casey & Ratcliff (CA)",1990,11562.5,9,0.5,17
Gs,1990,9989.6,10,0.5,3
Sidley & Austin,1990,9716.3,11,0.4,13
"Winstead, Sechrest & Minick",1990,9198.7,12,0.4,4
Orrick Herrington & Sutcliffe LLP,1990,8030.8,13,0.4,12
Sullivan & Cromwell,1990,6878.6,14,0.3,25
Schiff Hardin & Waite,1990,5786.5,15,0.3,16
Latham & Watkins,1990,5108.1,16,0.2,18
Debevoise & Plimpton,1990,4924.1,17,0.2,19
Chapman & Cutler,1990,3976,18,0.2,1
"Cravath, Swaine & Moore",1990,3950.3,19,0.2,7
White & Case LLP,1990,2669.3,20,0.1,14
Kirkland & Ellis,1990,2640.2,21,0.1,7
O'Melveny & Myers,1990,2579.9,22,0.1,11
Davis Polk & Wardwell,1990,2406.3,23,0.1,8
Simpson Thacher & Bartlett,1990,2281,24,0.1,17
Troutman Sanders LLP,1990,1800,25,0.1,1
Edwards & Angell,1990,1633.2,26,0.1,5
Shearman & Sterling,1990,1406.5,27,0.1,11
Pepper Hamilton & Scheetz,1990,1327.6,28,0.1,3
Gaston & Snow,1990,1239.9,29,0.1,5
Baker & Daniels,1990,1149.3,30,0.1,2
"Wohlforth, Argetsinger, Johnson & Brecht",1990,1000.9,31,0,3
Gibson Dunn & Crutcher,1990,958.8,32,0,13
"Friday, Eldredge & Clark (AR)",1990,953.4,33,0,5
Piper & Marbury,1990,912,34,0,5
Steel Hector & Davis (FL),1990,900.5,35,0,4
Lee Toomey & Kent,1990,896.3,36,0,1
Gordon Hurwitz Butowsky,1990,860.6,37,0,5
"Miller,Canfield,Paddock",1990,842.7,38,0,1
"Leonard, Street & Deinard",1990,809.7,39,0,11
"Paul, Weiss",1990,798.3,40,0,2
Morgan Lewis & Bockius,1990,793.5,41,0,7
Winthrop Stimson Putnam & Roberts,1990,749.3,42,0,4
Faegre & Benson,1990,747.4,43,0,3
Perkins Coie,1990,728,44,0,5
Squire Sanders & Dempsey (US) LLP,1990,713.3,45,0,3
Neal Gerber & Eisenberg,1990,665,46,0,2
Andrews Kurth LLP,1990,632.5,47,0,8
Ropes & Gray,1990,619.7,48,0,9
Gardner Carton & Douglas,1990,611.1,49,0,3
Stroock & Stroock & Lavan,1990,603.5,50,0,5
Bryan Cave LLP,1990,572.5,51,0,9
McGrath North O'Malley & Kratz,1990,546.3,52,0,3
Proskauer Rose Goetz & Mendelson,1990,512,53,0,1
Ballard Spahr Andrews & Ingersoll,1990,499.3,54,0,3
Baker & Botts,1990,498.7,55,0,7
Blackwell Sanders Matheny Weary,1990,497.7,56,0,1
McGuire Woods Battle & Boothe,1990,448.8,57,0,2
Wilson Sonsini Goodrich & Rosati,1990,445.7,58,0,13
Vinson & Elkins LLP,1990,440.2,59,0,9
Robert M. Rogers,1990,424.9,60,0,7
Johnson & Gibbs,1990,423.8,61,0,3
Wiggin & Nourie (NH),1990,423.7,62,0,1
"Saperston & Day, P.C.",1990,388.2,63,0,1
Seward & Kissel (NY),1990,384.5,64,0,4
Not Available,1990,384,65,0,5
"Brownstein,Zeidman & Schomer",1990,383.4,66,0,1
McKenna & Co,1990,378.5,67,0,1
Miller Nash Wiener Hager Carlsen,1990,350,68*,0,2
"Worsham, Forsythe, Sampels & Wooldridge",1990,350,68*,0,3
"Chadbourne, Parke, Whiteside & Wolff",1990,349.7,70*,0,2
Jones,1990,349.7,70*,0,1
"Taft, Stettinius & Hollister (OH)",1990,329,72,0,5
Jones Day Reavis & Pogue,1990,308.9,73,0,5
Stoel Rives Boley Jones & Grey,1990,308.5,74,0,3
Goodwin Procter & Hoar,1990,296.4,75,0,2
Oppenheimer Wolff & Donnelly,1990,290.1,76,0,4
Sullivan & Worcester LLP,1990,284.1,77,0,5
"Huber, Lawrence & Abell",1990,282.5,78,0,3
Willkie Farr & Gallagher,1990,264.4,79,0,6
Wachtell Lipton Rosen & Katz,1990,263.6,80,0,2
Covington & Burling,1990,256.4,81,0,3
Lane Powell Moss & Miller,1990,250,82,0,3
"Harris, Beach, Wilcox, Rubin And Levey",1990,249.9,83,0,2
"McKenna, Conner & Cuneo",1990,249.3,84,0,1
Slaughter and May,1990,248.6,85,0,1
"Hall, Dickler, Lawler, Kent & Friedman",1990,248.2,86,0,1
Pillsbury Madison & Sutro,1990,241.7,87,0,6
Dorsey & Whitney LLP,1990,236.1,88,0,8
Dickstein Shapiro & Morin,1990,230.2,89,0,1
Reid & Priest,1990,224.1,90,0,3
"Dewey, Ballantine, Bushby, Palmer & Wood",1990,223.8,91,0,2
Snell & Wilmer,1990,223.1,92,0,2
LeBoeuf Lamb Leiby & MacRae,1990,216.9,93,0,4
Maslon Edelman Borman & Brand,1990,210,94,0,1
"Nixon, Yow, Waller & Capers (GA)",1990,206,95,0,2
Heller Ehrman White & McAuliffe,1990,203.5,96,0,2
Lovell White Durrant,1990,202,97,0,1
Hengeler Mueller Weitzel Wirtz,1990,200,98*,0,1
Smith Helms Mulliss & Moore,1990,200,98*,0,1
Smith,1990,200,98*,0,1
McBride Baker & Coles (IL),1990,199.5,101,0,1
Hughes Hubbard & Reed,1990,197.5,102,0,1
Fulbright & Jaworski,1990,189.7,103,0,5
Brobeck Phleger & Hantson (CA),1990,188.8,104,0,5
Powell Goldstein Frazer & Murphy,1990,168.8,105,0,4
Mayer Brown & Platt,1990,164.7,106,0,2
Shaw Pittman Potts & Trowbridge,1990,156,107,0,1
Bell Boyd & Lloyd,1990,153.3,108,0,1
"Fox, Rothschild, O'Brien & Frankel",1990,150.2,109,0,2
Broad & Cassel,1990,149.8,110,0,1
Hale & Dorr LLP,1990,142.7,111,0,5
Baker & McKenzie,1990,136.8,112,0,3
"Keating, Muething & Klekamp (FL)",1990,131.9,113,0,1
Jones Walker Waechter Poitevent Carrere & Denegre,1990,129.2,114,0,1
McNair Law Firm,1990,127,115,0,2
McCarthy Tetrault,1990,124.8,116,0,1
Jenkens & Gilchrist,1990,123.8,117,0,3
"Adams, Duque & Hazeltine",1990,121.8,118,0,1
"Ray, Quinney & Nebeker (UT)",1990,114.5,119,0,1
"Davis, Graham & Stubbs",1990,113.8,120,0,3
"Cades, Schutte, Fleming & Wright",1990,109.3,121,0,1
"Benesch, Friedlander, Coplan & Aronoff",1990,105,122*,0,1
"Bruckner, O'Gara, Keating, Sievers & Hendry",1990,105,122*,0,1
Shook Hardy & Bacon,1990,104.7,124*,0,1
"Shook, Hardy & Bacon (MO)",1990,104.7,124*,0,1
"Berlack, Israels & Liberman (PA)",1990,104.1,126,0,3
Riddell Williams Bollit & Walkinshaw,1990,102.1,127,0,2
Briggs and Morgan (MN),1990,100,128*,0,1
Gipson Hoffman Pancione,1990,100,128*,0,1
Foley & Lardner,1990,99.9,130*,0,2
Stolar Partnership,1990,99.9,130*,0,1
Freehill Hollingdale & Page,1990,99.8,132,0,1
Monroe & Lemann,1990,98.1,133,0,1
Bass Berry & Sims PLC,1990,97.4,134,0,2
"Fenwick, Davis & West",1990,94.6,135,0,3
Haythe & Curley,1990,94.2,136,0,2
Rose Law Firm,1990,93.4,137,0,1
Weil Gotshal & Manges,1990,92.5,138,0,5
"Popham, Haik, Schnobrick & Kaufman (MN)",1990,88,139,0,2
Thompson,1990,85.5,140,0,1
Miles & Stockbridge,1990,85,141,0,1
"Emens, Hurd, Kegler & Ritter",1990,82.8,142,0,1
Sewell,1990,82,143,0,1
Riordan & McKinzie,1990,81.9,144,0,1
"Peper, Martin, Jensen Maichel & Hetlege",1990,75.6,145,0,1
Blackwell Sanders Matheny Weary & Lombardi,1990,75.5,146,0,1
Thompson & Chan,1990,75.4,147,0,1
"Blank, Rome, Comisky & Mccauley",1990,75,148,0,1
Frost & Jacobs,1990,74.9,149,0,1
"Huffman Arrington Kihle Gaberino & Dunn, P.C.",1990,74.2,150,0,1
Rainey,1990,70.4,151,0,1
Baker & Hostetler LLP,1990,70,152*,0,1
Weissburg & Aronson Inc,1990,70,152*,0,1
Kronish Lieb Weiner & Hellman,1990,69.7,154,0,1
Ware & Freidenrich,1990,69.1,155,0,2
"Doherty, Rumble & Butler (MN)",1990,65.8,156,0,2
Ritch Heather y Mueller SC,1990,64.8,157,0,1
Thacher Proffitt & Wood,1990,63.4,158,0,1
Cooley Godward Castro Huddleson & Tatum,1990,62.4,159,0,2
Parker Chapin Flattau & Klimpl,1990,62.1,160,0,1
Palmer and Dodge (MA),1990,61.6,161,0,2
"Streich, Lang, Weeks & Cardon (AZ)",1990,60.4,162,0,3
"Baker, Mills & Glast, P.C.",1990,60,163*,0,1
Donovan Leisure Newton & Irvine,1990,60,163*,0,1
Lord Day & Lord,1990,60,163*,0,1
Pinheiro Neto Advogados,1990,60,163*,0,1
Rodyk & Davidson,1990,60,163*,0,1
"Nutter, McClennen & Fish (MA)",1990,58.9,168,0,1
Brobeck Phleger & Harrison LLP,1990,58,169,0,1
Irell & Manella,1990,57.8,170,0,2
Venable Baetjer & Howard,1990,57.2,171,0,2
Haskell Slaughter & Young,1990,56.8,172,0,1
Myerson Cooper Stahl & Zelmanovitz,1990,56.1,173,0,2
Cahill Gordon & Reindel,1990,55.6,174,0,4
"Freedman, Levy, Kroll & Sidmonds",1990,52.8,175,0,1
Patterson Belknap Webb & Tyler,1990,51.9,176,0,1
"Kramer, Levin, Nessen, Kamin & Frankel",1990,51,177,0,4
"Paul, Hasting & Janofsky",1990,50.2,178,0,3
Alston & Bird,1990,50,179*,0,1
"Paine, Dalis, Smith & McElreath (TX)",1990,50,179*,0,1
"Paine, Hamblen, Coffin, Brooke & Miller",1990,50,179*,0,1
"Akin, Gump, Strauss, Hauer & Feld",1990,49.8,182,0,1
Baer Marks & Upham Inc,1990,47.9,183,0,3
Weinberg & Green,1990,47,184,0,1
Long Peterson & Zimmerman (DC),1990,46.4,185,0,2
"Kohrman, Jackson & Weiss Co (OH)",1990,45.8,186,0,1
"Creel, Garcia-Cuellar y Muggenburg",1990,45,187,0,1
Morrison & Foerster,1990,44.9,188,0,1
"Ervin, Cohen & Jessup (CA)",1990,43.8,189,0,2
Lindquist & Vennum,1990,43.5,190,0,2
International Legal Counsellors Thailand,1990,43.2,191,0,1
Shea & Gould,1990,42.8,192,0,2
"Hall, Estill, Hardwick, Gable, Golden",1990,42,193,0,1
Wolf Block Schorr & Solis-Cohen LLP,1990,41.4,194,0,1
Hutcheson & Grundy,1990,41,195,0,1
Fried Frank Harris Shriver & Jacobson,1990,40,196*,0,1
Kelly Hart & Hallman,1990,40,196*,0,1
Brown Rudnick Freed & Gesmer,1990,37.8,198*,0,2
"Howard & Howard Attorneys, P.C. (MI)",1990,37.8,198*,0,1
Dechert Price & Rhoads,1990,36,200,0,2
General Counsel,1991,4123489.6,1,75.9,1018
"Cadwalader, Wickersham & Taft",1991,209147.4,2,3.9,49
Brown & Wood,1991,97390.7,3,1.8,61
"Thacher, Jones, Casey & Ratcliff (CA)",1991,49977,4,0.9,21
Hunton & Williams,1991,40495.9,5,0.7,36
"Skadden, Arps, Slate, Meagher & Flom",1991,36801.6,6,0.7,64
Cleary Gottlieb Steen & Hamilton,1991,31687.1,7,0.6,18
Milbank Tweed Hadley & McCloy,1991,28181.6,8,0.5,17
"Winstead, Sechrest & Minick",1991,26426.6,9,0.5,21
Latham & Watkins,1991,19560.1,10,0.4,39
Thacher Proffitt & Wood,1991,15002.4,11,0.3,9
Stroock & Stroock & Lavan,1991,14130.8,12,0.3,15
O'Melveny & Myers,1991,13352.3,13,0.3,27
Orrick Herrington & Sutcliffe LLP,1991,12447.7,14,0.2,29
Sullivan & Cromwell,1991,11404.5,15,0.2,44
Schiff Hardin & Waite,1991,10262,16,0.2,36
Davis Polk & Wardwell,1991,8287.4,17,0.2,28
Sidley & Austin,1991,7811.9,18,0.1,11
Shearman & Sterling,1991,7689.1,19,0.1,28
Simpson Thacher & Bartlett,1991,7287.7,20,0.1,23
Edwards & Angell,1991,5990.8,21,0.1,16
Debevoise & Plimpton,1991,5329,22,0.1,19
In House,1991,5127.2,23,0.1,3
Kirkland & Ellis,1991,4915.2,24,0.1,12
Shea & Gould,1991,4318.1,25,0.1,8
"Dewey, Ballantine, Bushby, Palmer & Wood",1991,4185.8,26,0.1,17
White & Case LLP,1991,4143.8,27,0.1,30
Gs,1991,3928.8,28,0.1,2
Vedder Price Kaufman & Kammholz,1991,3539.1,29,0.1,4
"Cravath, Swaine & Moore",1991,3427.1,30,0.1,11
LeBoeuf Lamb Leiby & MacRae,1991,3139.5,31,0.1,4
Brobeck Phleger & Hantson (CA),1991,3106.5,32,0.1,16
Individual,1991,3044.5,33,0.1,13
Ropes & Gray,1991,3025,34,0.1,20
Slaughter and May,1991,2941.5,35,0.1,2
"Paul, Weiss",1991,2894.2,36,0.1,2
Mayer Brown & Platt,1991,2692.1,37,0.1,13
Pillsbury Madison & Sutro,1991,2438.2,38,0,12
Weil Gotshal & Manges,1991,2216.4,39,0,13
Perkins Coie,1991,2170.4,40,0,7
Winthrop Stimson Putnam & Roberts,1991,2050.6,41,0,14
Baker & Daniels,1991,2016.1,42,0,7
McGuire Woods Battle & Boothe,1991,1794.6,43,0,7
Shaw Pittman Potts & Trowbridge,1991,1751.7,44,0,3
Gibson Dunn & Crutcher,1991,1660.8,45,0,12
Faegre & Benson,1991,1634.3,46,0,9
Jones Day Reavis & Pogue,1991,1628.1,47,0,13
Wachtell Lipton Rosen & Katz,1991,1605.6,48,0,7
McKenna & Co,1991,1563.2,49,0,4
Dorsey & Whitney LLP,1991,1554,50,0,21
Miles & Stockbridge,1991,1537.2,51,0,3
Baker & Botts,1991,1505.2,52,0,14
Reid & Priest,1991,1467,53,0,13
Dickinson Wright Moon Van Dusen,1991,1464.2,54,0,6
Venable Baetjer & Howard,1991,1458.9,55,0,4
"Friday, Eldredge & Clark (AR)",1991,1357.8,56,0,6
Vinson & Elkins LLP,1991,1270.9,57,0,11
Ballard Spahr Andrews & Ingersoll,1991,1213.6,58,0,6
R.P. Wolf (SC),1991,1199.4,59,0,14
Wilson Sonsini Goodrich & Rosati,1991,1156.9,60,0,27
Cahill Gordon & Reindel,1991,1148.4,61,0,7
Andrews Kurth LLP,1991,1039.4,62,0,7
Miller Nash Wiener Hager Carlsen,1991,1019.6,63,0,5
Conyers Dill & Pearman,1991,1000,64,0,1
Winston & Strawn,1991,978.4,65,0,2
Steptoe & Johnson Chartered (DC),1991,930.2,66,0,4
McGrath North O'Malley & Kratz,1991,906.5,67,0,2
"Day, Berry & Howard",1991,902.3,68,0,4
Piper & Marbury,1991,888.1,69,0,6
Hughes Hubbard & Reed,1991,789.7,70,0,8
Lovell White Durrant,1991,756.9,71,0,4
Squire Sanders & Dempsey (US) LLP,1991,755.5,72,0,4
Fulbright & Jaworski,1991,753.6,73,0,12
Willkie Farr & Gallagher,1991,726.4,74,0,8
Heller Ehrman White & McAuliffe,1991,699.3,75,0,2
"Smith, Gill",1991,681.8,76,0,2
Linklaters & Paines,1991,652.7,77,0,6
"Chadbourne, Parke, Whiteside & Wolff",1991,647.8,78,0,4
"Thompson, Hine & Flory",1991,644.4,79,0,4
Cooley Godward Castro Huddleson & Tatum,1991,633.8,80,0,15
Mcdermott Will & Emery,1991,607.8,81,0,2
Stevens & Lee P.C.,1991,589.8,82,0,4
Broad & Cassel,1991,572.8,83,0,3
Arnold & Porter,1991,559.2,84,0,2
Breed Abbott & Morgan,1991,546,85,0,1
"Munger, Tolles & Rickershauser (CA)",1991,536.5,86,0,4
"Worsham, Forsythe, Sampels & Wooldridge",1991,517.5,87,0,2
"Kramer, Levin, Nessen, Kamin & Frankel",1991,499.6,88,0,3
Lovell White & King,1991,498.5,89,0,1
Shea & Gould,1991,468.2,90,0,3
Hiscock & Barclay (NY),1991,462.7,91,0,3
"Streich, Lang, Weeks & Cardon (AZ)",1991,450,92,0,2
Russell E. Mahoney,1991,448.3,93,0,4
Foley & Lardner,1991,440,94,0,5
Neal Gerber & Eisenberg,1991,436.4,95,0,3
Gordon Maney,1991,420,96,0,2
Hale & Dorr LLP,1991,415.6,97,0,11
Allen & Hemsley,1991,400,98*,0,1
Squadron Ellenoff Plesent & Lehrer,1991,400,98*,0,1
Smith Helms Mulliss & Moore,1991,399.2,100,0,2
"Huber, Lawrence & Abell",1991,398.1,101,0,3
"Harris, Beach, Wilcox, Rubin And Levey",1991,391.2,102,0,3
Katten Muchin & Zavis (Borge & Pitt-IL),1991,386,103,0,7
Smith,1991,382.7,104,0,3
Robert M. Rogers,1991,363.4,105,0,8
"Shook, Hardy & Bacon (MO)",1991,354.7,106,0,3
Morrison & Foerster,1991,354,107,0,4
Snell & Wilmer,1991,350.2,108,0,5
Gaston & Snow,1991,347.5,109,0,4
Holme Roberts & Owen,1991,339.7,110,0,4
Womble Carlyle Sandridge & Rice PLLC,1991,328.8,111,0,2
Morgan Lewis & Bockius,1991,326.5,112,0,10
Schulte Roth & Zabel LLP,1991,315,113,0,4
Covington & Burling,1991,311.3,114,0,4
Fried Frank Harris Shriver & Jacobson,1991,308.3,115,0,3
Johnson & Gibbs,1991,307.3,116,0,5
"Paul, Hasting & Janofsky",1991,301.6,117,0,4
Bracewell & Patterson,1991,299.3,118,0,3
McNair Law Firm,1991,297.3,119,0,2
"Taft, Stettinius & Hollister (OH)",1991,282.8,120,0,3
"Foster, Pepper & Riviera",1991,280.9,121,0,3
"Miller,Canfield,Paddock",1991,271.3,122,0,2
Gardner Carton & Douglas,1991,259.9,123,0,3
Powell Goldstein Frazer & Murphy,1991,252.2,124,0,6
"Hall, Dickler, Lawler, Kent & Friedman",1991,247.8,125,0,1
Barnes & Thornburg,1991,240.6,126,0,3
Kirkpatrick & Lockhart LLP,1991,231.5,127,0,4
Mintz Levin Cohn Ferris Glovsky & Popeo,1991,227.7,128,0,6
Phillips & Vineberg,1991,223.2,129,0,1
"Bryan, Cave, McPheeters & McRoberts",1991,216.8,130,0,3
Goodwin Procter & Hoar,1991,216.4,131,0,4
"Bruckner, O'Gara, Keating, Sievers & Hendry",1991,205.5,132,0,2
Baker & Hostetler LLP,1991,205.3,133,0,4
Leavy Rosensweig & Hyman,1991,204,134,0,1
BB Smoliar,1991,203.3,135*,0,1
Loyens & Volkmaars,1991,203.3,135*,0,1
Nauta Dutilh (US),1991,203.3,135*,0,1
Brobeck Phleger & Harrison LLP,1991,201.8,138*,0,3
Reboul MacMurray Hewitt Maynard & Kristol,1991,201.8,138*,0,3
Fiddler Gonzalez & Rodriquez,1991,200,140*,0,1
Jenkins,1991,200,140*,0,1
"Orgain, Bell & Tucker",1991,200,140*,0,1
Stoel Rives Boley Jones & Grey,1991,195.1,143,0,2
"Muldoon, Murphy & Faucette",1991,192.4,144,0,2
Nixon Hargrave Devans & Doyle,1991,187.9,145,0,2
Olshan Grundman Frome & Rosenzweig,1991,175,146,0,1
Chapman & Cutler,1991,173.9,147*,0,4
"Fox, Rothschild, O'Brien & Frankel",1991,173.9,147*,0,1
Stinson Mag & Fizzell,1991,170.6,149*,0,2
Testa Hurwitz & Thibeault,1991,170.6,149*,0,5
Thompson & Knight PC,1991,165,151,0,2
Hutchins & Wheeler,1991,162.6,152,0,2
"Wyche, Burgess, Freeman & Parham (SC)",1991,159,153,0,3
Donovan Leisure Newton & Irvine,1991,158.6,154,0,2
Lindquist & Vennum,1991,155.8,155,0,4
Bass Berry & Sims PLC,1991,152.3,156,0,7
"Thorp, Reed & Armstrong (PA)",1991,151.7,157,0,1
Riddell Williams Bollit & Walkinshaw,1991,151.3,158,0,2
Steel Hector & Davis (FL),1991,150.5,159,0,3
Barrett Smith Schapiro Simon & Armstrong,1991,150.3,160,0,1
"Beus,Gilbert & Morrill",1991,150,161*,0,1
McBride Baker & Coles (IL),1991,150,161*,0,1
Miller & Martin,1991,150,161*,0,1
"Mitchell, Silberberg & Knupp",1991,149.6,164*,0,1
Troutman Sanders LLP,1991,149.6,164*,0,2
Blackwell Sanders Matheny Weary & Lombardi,1991,149.5,166,0,1
Balch & Bingham LLP,1991,149.3,167,0,1
Blackwell Sanders Matheny Weary,1991,148.6,168,0,1
McAfee & Taft,1991,148.3,169,0,1
McKenna & Fitting,1991,148.2,170,0,3
"Dyer, Ellis, Joseph & Mills",1991,143.3,171,0,3
Haynes & Boone,1991,140.2,172,0,2
Foley Hoag & Eliot LLP,1991,139.6,173,0,6
"Megargee,Youngblood,Franklin,*",1991,139,174,0,2
Sutherland Asbill & Brennan LLP,1991,138.5,175,0,1
Ross & Stevens (WI),1991,138.4,176,0,2
Lewis & Rice,1991,130.1,177,0,2
Proskauer Rose Goetz & Mendelson,1991,125.4,178*,0,3
Robins Kaplan Miller & Ciresi,1991,125.4,178*,0,3
Hinckley Allen Snyder & Comen,1991,123.3,180,0,1
Irell & Manella,1991,122.6,181,0,4
"Calfee, Halter & Griswold (OH)",1991,122.2,182,0,2
Coudert Brothers,1991,122,183,0,3
Sherman & Howard (CO),1991,120.7,184,0,2
Gordon Hurwitz Butowsky,1991,117.6,185,0,2
Palmer and Dodge (MA),1991,115.6,186,0,3
Schnader Harrison Segal & Lewis,1991,115.5,187,0,2
"Harter, Secrest & Emery (NY)",1991,113.3,188,0,2
Gould & Willkie,1991,113.1,189,0,3
Mudge Rose Gutherie Alexander & Ferdon,1991,112.1,190,0,2
Porter Wright Morris & Arthur,1991,111.6,191,0,3
Bingham Dana & Gould,1991,111.2,192,0,2
De Brauw Blackstone Westbroek,1991,110.3,193,0,1
"Braemer, Abelson & Hitchner",1991,110.1,194,0,1
"Vorys, Sater, Seymour & Pease",1991,107.3,195,0,2
Altheimer & Gray,1991,106.7,196,0,1
Barrett & McNagny,1991,106.6,197,0,1
Boulanger Finley & Hicks,1991,104.5,198,0,3
Oppemheimer Wolff & Donnelly,1991,103.8,199,0,2
"Emens, Hurd, Kegler & Ritter",1991,103.5,200,0,1
General Counsel,1992,6068478.7,1,77.4,1385
"Cadwalader, Wickersham & Taft",1992,210682.6,2,2.7,61
Brown & Wood,1992,158834.1,3,2,95
Thacher Proffitt & Wood,1992,76619.8,4,1,31
"Skadden, Arps, Slate, Meagher & Flom",1992,60735.7,5,0.8,95
Hunton & Williams,1992,38944.3,6,0.5,47
"Winstead, Sechrest & Minick",1992,38580.4,7,0.5,26
Orrick Herrington & Sutcliffe LLP,1992,37913.3,8,0.5,24
Morgan Lewis & Bockius,1992,32049.9,9,0.4,26
Stroock & Stroock & Lavan,1992,23201.9,10,0.3,19
Cleary Gottlieb Steen & Hamilton,1992,18514,11,0.2,13
"Thacher, Jones, Casey & Ratcliff (CA)",1992,17943.3,12,0.2,6
Weil Gotshal & Manges,1992,16178.4,13,0.2,29
Morgan SA,1992,15234,14,0.2,4
Sullivan & Cromwell,1992,14716.8,15,0.2,59
Simpson Thacher & Bartlett,1992,14716.3,16,0.2,60
Milbank Tweed Hadley & McCloy,1992,12208.1,17,0.2,20
Latham & Watkins,1992,11358.8,18,0.1,35
